DateTime,AddedIPs,RemovedIPs
1444755273,11,0
1444844750,30,0
1444919246,11,0
1445009244,11,0
1445098712,16,0
1445188179,17,0
1445276742,13,0
1445351250,17,0
1445440712,14,0
1445537917,20,0
1445612430,20,1
1445702057,29,0
1445790996,25,0
1445881531,10,0
1445956091,24,0
1446045598,29,0
1446135526,28,0
1446227729,16,0
1446305305,28,0
1446395257,19,0
1446483268,17,0
1446573366,17,0
1446647251,18,0
1446734231,43,0
1446824710,11,0
1446914587,13,1
1447003171,19,0
1447093634,14,0
1447168173,11,0
1447265380,14,0
1447340050,15,0
1447429590,13,0
1447519032,24,0
1447608448,23,0
1447697916,11,1
1447772424,12,0
1447862450,22,0
1447944859,26,0
1448035765,23,0
1448125282,30,0
1448215223,17,0
1448290705,21,3
1448376351,28,2
1448462200,22,0
1448579578,18,0
1448639441,17,0
1448733414,18,0
1448808341,21,0
1448897966,20,0
1448990839,49,0
1449086266,20,0
1449160599,5,0
1449244167,18,0
1449338965,14,0
1449416725,6,1
1449506200,21,383
1449598419,17,0
1449688761,6,0
1449764858,14,0
1449862977,21,0
1449937197,11,0
1450027637,10,1
1450117144,16,0
1450209509,16,0
1450285241,17,0
1450380210,13,0
1450454429,16,3
1450547210,9,0
1450636595,14,0
1450726067,14,0
1450801655,15,1
1450892755,17,0
1450982187,16,0
1451071641,9,0
1451155620,19,0
1451231228,15,0
1451321652,15,0
1451416722,19,0
1451490644,28,0
1451579795,22,0
1451669253,20,0
1451759877,28,0
1451848522,37,0
1451922859,20,0
1452011806,23,0
1452101247,20,1
1452191849,9,0
1452278917,12,0
1452368193,20,0
1452443275,17,0
1452532712,13,0
1452622172,12,0
1452711665,8,0
1452786337,28,0
1452875804,17,0
1452965390,21,0
1453054725,13,0
1453142895,12,0
1453231219,23,0
1453319058,21,3
1453392265,12,1
1453480098,19,0
1453567932,20,0
1453655771,9,0
1453743641,18,0
1453831459,18,0
1453919287,8,0
1454007137,17,0
1454094977,11,0
1454182805,17,0
1454256044,12,0
1454344094,18,0
1454431947,13,0
1454520774,15,0
1454608570,16,0
1454696432,13,0
1454784266,19,0
1454872346,21,0
1454960168,22,0
1455033369,17,0
1455121465,15,0
1455209293,28,0
1455297143,12,0
1455385210,10,0
1455473049,15,0
1455560896,42,0
1455648743,34,0
1455736841,27,1
1455810508,21,0
1455898596,15,0
1455986409,21,0
1456074257,26,0
1456162245,21,0
1456250185,20,0
1456338294,23,0
1456426099,19,0
1456513936,19,0
1456602006,20,0
1456675243,16,0
1456763329,17,0
1456851173,31,0
1456938983,20,1
1457027051,19,0
1457115138,30,0
1457203213,25,0
1457291055,22,0
1457378935,19,0
1457452120,18,0
1457540228,32,0
1457628012,18,0
1457715881,31,0
1457804207,25,0
1457892021,28,0
1457980892,23,0
1458068661,33,0
1458156513,35,0
1458229693,21,0
1458317592,23,0
1458405375,19,0
1458493219,24,2
1458581559,30,0
1458669655,15,0
1458757946,16,1
1458845781,15,0
1458933575,30,1
1459007051,20,0
1459095134,10,0
1459183215,26,3
1459271308,12,3
1459359158,17,0
1459446994,14,0
1459535543,13,0
1459623378,13,6
1459711963,13,0
1459785380,15,0
1459873793,23,0
1459961535,31,0
1460049629,24,0
1460137450,26,5
1460225782,30,0
1460313617,24,0
1460401704,16,4
1460489778,25,1
1460562975,33,0
1460652121,30,0
1460739911,30,1
1460827912,30,0
1460915780,29,0
1461004094,30,3
1461092186,25,0
1461176923,17,0
1461265571,18,1
1461353541,19,0
1461426741,39,2
1461514580,36,0
1461602919,27,0
1461690768,25,0
1461778574,21,1
1461866431,21,0
1461954408,31,0
1462042347,20,0
1462130190,19,0
1462220909,20,1
1462294100,14,3
1462381937,15,0
1462469783,20,0
1462557622,30,6
1462645481,21,0
1462733306,20,0
1462821136,23,0
1462908978,31,1
1462982171,29,0
1463070262,26,0
1463158120,27,0
1463246192,31,3
1463334011,28,3
1463421864,20,0
1463509696,28,6
1463598037,29,1
1463686100,20,0
1463759299,26,3
1463847137,34,3
1463935212,23,6
1464023294,21,0
1464111389,25,0
1464199276,15,0
1464287071,32,0
1464375097,26,3
1464462990,20,0
1464550840,24,0
1464624060,22,0
1464711875,23,0
1464799720,37,3
1464887551,18,0
1464975384,21,0
1465063233,9,0
1465151060,32,0
1465238902,13,0
1465326773,11,0
1465414573,27,5
1465487779,20,0
1465575647,18,2
1465663460,27,3
1465751311,25,0
1465839148,27,4
1465927231,23,0
1466015309,20,0
1466103384,26,3
1466191210,20,0
1466279073,32,1
1466352259,17,0
1466440102,12,0
1466527973,16,0
1466616100,14,0
1466703853,20,0
1466791695,29,0
1466879540,18,1
1466967377,14,0
1467055453,22,0
1467143327,22,1
1467216495,17,0
1467304365,25,0
1467392173,12,0
1467480250,23,0
1467568099,17,0
1467655933,15,0
1467743777,21,0
1467831732,16,0
1467919701,15,3
1468007534,11,0
1468080994,13,0
1468168810,16,0
1468256652,14,0
1468344503,17,1
1468432339,20,0
1468520179,17,0
1468608022,14,0
1468695853,16,0
1468783699,15,0
1468871536,31,0
1468944737,23,0
1469032588,19,0
1469120441,25,0
1469208257,24,0
1469296108,32,0
1469383938,21,0
1469471782,16,0
1469559667,16,1
1469647449,21,0
1469735324,21,0
1469808508,19,3
1469896345,12,6
1469984179,15,0
1470072042,25,1
1470159846,13,0
1470247700,27,3
1470335551,24,0
1470423379,26,6
1470511215,34,3
1470599052,19,3
1470672515,22,0
1470760356,18,0
1470848200,58,2
1470936266,24,0
1471024347,33,0
1471112177,21,0
1471200026,24,0
1471287855,20,1
1471375717,23,0
1471463561,19,3
1471536747,24,0
1471624574,16,0
1471712437,29,6
1471800248,25,2
1471888105,18,0
1471975951,12,0
1472063781,17,0
1472151677,31,0
1472239984,20,0
1472327779,28,0
1472401452,40,0
1472489338,31,0
1472577149,30,0
1472665215,45,0
1472753332,23,1
1472841143,41,0
1472928980,14,0
1473016817,32,0
1473104648,25,0
1473177858,10,1
1473265700,27,0
1473353542,21,1
1473441384,18,0
1473529457,16,0
1473617539,18,0
1473705375,181,0
1473793255,45,0
1473881307,19,0
1473969142,43,0
1474042347,28,0
1474130427,38,0
1474218260,24,0
1474306107,33,0
1474393957,22,1
1474481777,17,0
1474569619,23,5
1474657463,22,0
1474745536,18,0
1474833380,31,0
1474907058,33,0
1474994894,17,3
1475082762,27,6
1475170583,25,0
1475258479,28,3
1475346257,39,0
1475434106,21,3
1475521954,22,0
1475609780,25,3
1475697663,29,0
1475770811,32,1
1475858650,19,3
1475946498,21,0
1476034349,28,0
1476122185,27,0
1476210255,26,1
1476298103,27,1
1476385937,35,1
1476473784,19,0
1476561660,11,0
1476635070,26,0
1476722907,16,0
1476810742,18,1
1476898922,28,0
1476986659,25,0
1477074498,23,1
1477162342,32,0
1477250410,48,0
1477338254,36,0
1477411706,28,0
1477499544,32,0
1477587379,35,0
1477675449,32,0
1477763301,43,0
1477851383,18,0
1477939217,24,1
1478027049,35,0
1478115139,27,0
1478202995,27,11
1478276440,31,0
1478364247,34,0
1478452361,42,0
1478540196,23,0
1478628256,33,3
1478716111,37,0
1478803977,35,0
1478891781,37,0
1478979629,27,3
1479067477,27,3
1479140666,37,2
1479228499,51,0
1479316348,18,0
1479404199,25,3
1479492072,34,0
1479579856,46,0
1479667701,44,0
1479755803,22,0
1479843613,246,3
1479931466,23,0
1480004911,35,0
1480092749,21,1
1480180837,18,0
1480268657,23,0
1480356500,18,3
1480444577,37,9
1480532502,24,1
1480620256,28,0
1480708358,45,6
1480796183,57,0
1480869394,20,0
1480957290,29,0
1481047156,33,2
1481137396,34,3
1481225537,25,0
1481313371,31,0
1481387047,33,0
1481474900,28,0
1481563466,29,6
1481651299,38,0
1481739153,14,0
1481826978,29,0
1481914873,55,0
1482002663,43,3
1482090507,33,0
1482178359,27,0
1482251556,31,0
1482339378,36,0
1482427710,39,1
1482523293,41,3
1482596673,20,0
1482684500,42,0
1482772607,29,0
1482860438,25,0
1482948522,30,6
1483036345,36,0
1483124513,73,0
1483212267,23,0
1483300101,20,0
1483387942,34,0
1483461133,28,0
1483549282,31,0
1483637068,32,0
1483724903,28,0
1483813230,34,3
1483901778,26,3
1483990110,29,0
1484077940,34,0
1484166270,31,0
1484239451,26,0
1484327782,20,0
1484416345,22,1
1484504181,14,0
1484592025,53,0
1484680133,35,3
1484768184,34,0
1484856087,18,1
1484929453,22,0
1485017298,27,0
1485105699,27,3
1485193451,32,0
1485281775,33,0
1485370112,41,0
1485458192,16,0
1485546040,24,2
1485634116,30,3
1485707787,38,0
1485795697,59,0
1485883896,25,0
1485971774,25,3
1486060098,39,0
1486148185,35,0
1486236504,16,0
1486324352,15,0
1486412666,28,0
1486485850,31,0
1486573701,23,0
1486661776,36,0
1486750125,34,0
1486837944,36,0
1486925782,26,0
1487013673,48,0
1487101447,37,0
1487189567,22,3
1487263210,20,3
1487351066,26,0
1487438911,43,3
1487526745,63,0
1487614825,30,0
1487702651,65,0
1487790508,43,0
1487878344,45,0
